what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1329971993046
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1329971993046
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329971993046
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1329971993046
java.vm.specification.version,sysinfo,,,"1.7",1329971993046
java.vm.vendor,sysinfo,,,"Oracle Corporation",1329971993046
java.vm.version,sysinfo,,,"21.0-b17",1329971993046
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1329971993046
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1329971993078
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1329971994187
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1329971994859
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1329971994953
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1329971994984
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329971995968
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329971996109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329971999531
